Original Category,Consolidated Category
Energy Equity,Sector Equity
International Equity,Global Equity
Miscellaneous - Undisclosed Holdings,Miscellaneous
Tactical Balanced,Balanced - Tactical
U.S. Small/Mid Cap Equity,U.S./North American Equity
2030 Target Date Portfolio,Target Date
Canadian Short Term Fixed Income,Canadian Fixed Income
Financial Services Equity,Sector Equity
Short-term Target Date Portfolio,Target Date
U.S. Equity,U.S./North American Equity
Alternative Strategies,Alternative
Asia Pacific ex-Japan Equity,Emerging/Asia Equity
Global Equity Balanced,Balanced - Global
Canadian Dividend & Income Equity,Canadian Equity
Canadian Money Market,Money Market
Emerging Markets Equity,Emerging/Asia Equity
Alternative Private Equity,Alternative
Asia Pacific Equity,Emerging/Asia Equity
Canadian Equity,Canadian Equity
Canadian Fixed Income Balanced,Canadian Fixed Income
European Equity,Europe Equity
Global Fixed Income Balanced,Global Fixed Income
Miscellaneous - Income & Real Property,Sector Equity
U.S. Dividend & Income Equity,U.S./North American Equity
Alternative Market Neutral,Alternative
Alternative Other,Alternative
Canadian Focused Equity,Canadian Equity
Canadian Synthetic Money Market,Money Market
Emerging Markets Fixed Income,Global Fixed Income
Floating Rate Loan,Global Fixed Income
Global Equity,Global Equity
Global Infrastructure Equity,Sector Equity
High Yield Fixed Income,Global Fixed Income
Global Dividend & Income Equity,Global Equity
Real Estate Equity,Sector Equity
2035+ Target Date Portfolio,Target Date
Alternative Multi-Strategy,Alternative
Canadian Long Term Fixed Income,Canadian Fixed Income
Preferred Share Fixed Income,Canadian Fixed Income
U.S. Money Market,Money Market
Commodity,Commodity
Global Neutral Balanced,Balanced - Global
Passive Inverse/Leveraged,Alternative
Precious Metals Equity,Sector Equity
2035 Target Date Portfolio,Target Date
Canadian Fixed Income,Canadian Fixed Income
Canadian Inflation Protected Fixed Income,Canadian Fixed Income
Canadian Small/Mid Cap Equity,Canadian Equity
Global Fixed Income,Global Fixed Income
North American Equity,U.S./North American Equity
Retail Venture Capital,Alternative
Alternative Equity Focused,Alternative
Alternative Private Debt,Alternative
Canadian Corporate Fixed Income,Canadian Fixed Income
Canadian Neutral Balanced,Balanced - Canadian
Greater China Equity,Emerging/Asia Equity
2025 Target Date Portfolio,Target Date
Canadian Focused Small/Mid Cap Equity,Canadian Equity
Natural Resources Equity,Sector Equity
2020 Target Date Portfolio,Target Date
2025+ Target Date Portfolio,Target Date
Canadian Equity Balanced,Balanced - Canadian
Global Corporate Fixed Income,Global Fixed Income
Miscellaneous - Other,Miscellaneous
Multi-Sector Fixed Income,Global Fixed Income
Alternative Credit Focused,Alternative
Geographic Equity,Sector Equity
Global Small/Mid Cap Equity,Global Equity
Miscellaneous - Undisclosed,Miscellaneous
Sector Equity,Sector Equity
